engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21
32,24,0.0009,-0.0003,100.0,518.67,642.5,1590.83,1406.22,14.62,21.61,552.91,2388.16,9053.69,1.3,47.43,521.53,2388.11,8133.12,8.4314,0.03,394,2388,100.0,38.87,23.33
48,116,-0.0001,0.0,100.0,518.67,642.24,1593.76,1404.9,14.62,21.61,554.3,2388.01,9078.73,1.3,47.42,522.76,2388.03,8154.88,8.3808,0.03,390,2388,100.0,38.84,23.3267
31,119,-0.0031,0.0002,100.0,518.67,642.41,1579.35,1402.17,14.62,21.61,553.31,2388.02,9047.77,1.3,47.17,521.81,2388.11,8138.43,8.4055,0.03,393,2388,100.0,38.99,23.2714
79,72,-0.0019,-0.0002,100.0,518.67,642.77,1582.62,1404.95,14.62,21.61,554.29,2388.03,9057.49,1.3,47.33,522.2,2388.0,8143.82,8.4213,0.03,392,2388,100.0,38.92,23.4385
94,15,-0.0008,0.0001,100.0,518.67,642.69,1587.27,1405.2,14.62,21.61,553.0,2388.17,9046.89,1.3,47.54,521.48,2388.16,8129.89,8.4235,0.03,393,2388,100.0,38.77,23.2681
96,212,0.0009,0.0002,100.0,518.67,642.53,1588.67,1403.79,14.62,21.61,553.83,2388.08,9057.51,1.3,47.58,522.14,2388.08,8138.41,8.4328,0.03,392,2388,100.0,38.79,23.2464
38,191,0.0007,-0.0004,100.0,518.67,643.13,1604.78,1428.62,14.62,21.61,552.75,2388.11,9150.36,1.3,47.97,519.2,2388.19,8221.84,8.5265,0.03,395,2388,100.0,38.48,23.0973
88,66,0.0009,-0.0,100.0,518.67,642.31,1586.63,1403.75,14.62,21.61,553.55,2388.03,9062.51,1.3,47.25,521.58,2388.07,8142.25,8.4136,0.03,392,2388,100.0,39.01,23.28
30,65,0.0021,-0.0004,100.0,518.67,642.39,1584.99,1395.51,14.62,21.61,554.14,2388.02,9065.93,1.3,47.27,522.47,2388.04,8147.89,8.412,0.03,392,2388,100.0,38.9,23.4004
60,112,-0.0014,-0.0002,100.0,518.67,643.11,1591.99,1407.55,14.62,21.61,553.35,2388.11,9061.1,1.3,47.58,521.3,2388.09,8140.43,8.4796,0.03,394,2388,100.0,38.66,23.3286
49,203,0.001,0.0002,100.0,518.67,643.58,1596.89,1424.97,14.62,21.61,551.76,2388.25,9059.28,1.3,48.01,520.1,2388.22,8130.69,8.5472,0.03,397,2388,100.0,38.57,23.014
24,110,0.0067,0.0,100.0,518.67,643.03,1594.02,1407.36,14.62,21.61,554.21,2388.16,9054.37,1.3,47.75,521.02,2388.08,8138.12,8.471,0.03,393,2388,100.0,38.87,23.2551
17,145,-0.0019,-0.0003,100.0,518.67,642.3,1584.65,1397.85,14.62,21.61,554.06,2388.02,9073.92,1.3,47.35,522.19,2388.01,8150.4,8.4253,0.03,393,2388,100.0,38.86,23.2876
41,33,-0.0028,0.0002,100.0,518.67,642.38,1581.22,1400.33,14.62,21.61,554.43,2388.02,9066.31,1.3,47.23,522.09,2388.02,8148.18,8.3938,0.03,393,2388,100.0,39.05,23.2761
88,185,0.0046,0.0004,100.0,518.67,642.88,1607.09,1415.04,14.62,21.61,552.83,2388.13,9105.16,1.3,47.74,521.26,2388.11,8185.5,8.4833,0.03,393,2388,100.0,38.76,23.3286
98,155,-0.0003,-0.0003,100.0,518.67,643.96,1602.49,1424.95,14.62,21.61,551.84,2388.31,9055.83,1.3,48.23,519.44,2388.3,8126.76,8.5058,0.03,396,2388,100.0,38.48,23.0874
84,154,0.0012,0.0,100.0,518.67,643.04,1592.3,1420.98,14.62,21.61,553.13,2388.1,9052.71,1.3,47.75,520.93,2388.16,8127.72,8.4174,0.03,395,2388,100.0,38.77,23.2002
76,85,-0.0031,-0.0001,100.0,518.67,642.6,1587.36,1418.11,14.62,21.61,553.59,2388.12,9051.09,1.3,47.88,521.15,2388.11,8133.28,8.4395,0.03,393,2388,100.0,38.77,23.2519
